Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Diesel,Fuel_Petrol,Transmission_Automatic,Transmission_Manual,Current_Age,Age
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755.0,171.5,8.0,21 Lakh,17.5,True,False,True,False,8,8
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477.0,175.56,7.0,32.01 Lakh,15.0,True,False,False,True,10,10
20,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,190.0,5.0,47.87 Lakh,18.55,True,False,True,False,10,10
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,18.64 Lakh,10.95,False,True,False,True,12,12
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,19.34 Lakh,16.5,True,False,False,True,7,7
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950.0,194.0,5.0,49.14 Lakh,35.67,True,False,True,False,5,5
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,11.81 Lakh,10.5,True,False,False,True,6,6
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755.0,171.5,7.0,27 Lakh,19.25,True,False,True,False,7,7
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,190.0,5.0,54.43 Lakh,20.75,True,False,True,False,9,9
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,14.44 Lakh,10.95,True,False,False,True,6,6
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,95.04 Lakh,54.0,False,True,True,False,7,7
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591.0,121.3,5.0,13.49 Lakh,11.5,False,True,True,False,5,5
148,Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894.0,444.0,4.0,1.28 Cr,37.0,False,True,True,False,11,11
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,190.0,5.0,60.88 Lakh,26.5,True,False,True,False,10,10
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995.0,190.0,5.0,69.47 Lakh,33.5,True,False,True,False,10,10
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,First,14.67,1798.0,177.46,5.0,33.58 Lakh,26.0,False,True,True,False,7,7
228,Mini Cooper Convertible S,Kochi,2017,26327,First,16.82,1998.0,189.08,4.0,44.28 Lakh,35.67,False,True,True,False,7,7
235,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,First,11.36,2755.0,171.5,7.0,20.74 Lakh,19.64,True,False,True,False,5,5
256,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,First,13.68,2393.0,147.8,7.0,25.52 Lakh,18.65,True,False,False,True,7,7
264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,First,11.57,2987.0,254.79,5.0,95.13 Lakh,61.29,True,False,True,False,7,7
298,Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,First,13.68,2393.0,147.8,7.0,25.4 Lakh,20.25,True,False,False,True,8,8
303,Honda City i-VTEC CVT ZX,Mumbai,2017,15000,First,18.0,1497.0,117.3,5.0,16.67 Lakh,12.69,False,True,True,False,7,7
310,Mercedes-Benz GLE 250d,Hyderabad,2017,29000,First,17.9,2143.0,201.15,5.0,79.43 Lakh,57.0,True,False,True,False,7,7
327,Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,First,14.75,2967.0,245.0,7.0,1.04 Cr,62.67,True,False,True,False,7,7
348,BMW 3 Series Luxury Line,Kochi,2015,30717,Second,21.76,1995.0,190.0,5.0,58.67 Lakh,25.99,True,False,True,False,9,9
355,Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,First,19.33,1999.0,177.0,5.0,72.64 Lakh,52.0,True,False,True,False,7,7
357,Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,First,14.67,1798.0,177.46,5.0,36.15 Lakh,27.3,False,True,True,False,5,5
365,Mini Clubman Cooper S,Pune,2017,8350,First,13.8,1998.0,192.0,5.0,44.59 Lakh,35.0,False,True,False,True,7,7
389,Jaguar XE Portfolio,Mumbai,2017,9000,First,13.5,1999.0,246.74,5.0,53.72 Lakh,34.5,False,True,True,False,7,7
401,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,First,13.5,2477.0,175.56,7.0,33.91 Lakh,28.0,True,False,True,False,6,6
413,BMW 3 Series Luxury Line,Mumbai,2015,41000,First,21.76,1995.0,190.0,5.0,60.88 Lakh,25.5,True,False,True,False,9,9
418,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,First,11.5,2996.0,367.0,5.0,95.38 Lakh,70.99,False,True,True,False,6,6
423,Audi A6 35 TFSI Matrix,Mumbai,2016,47000,First,15.26,1798.0,187.74,5.0,60.59 Lakh,24.5,False,True,True,False,8,8
427,Mini Cooper Convertible S,Mumbai,2014,11900,First,16.82,1998.0,189.08,4.0,44.28 Lakh,28.5,False,True,True,False,10,10
457,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,First,15.17,1968.0,181.0,5.0,43.65 Lakh,20.37,True,False,True,False,8,8
458,BMW 3 Series Luxury Line,Bangalore,2016,19235,First,21.76,1995.0,190.0,5.0,62.07 Lakh,36.5,True,False,True,False,8,8
473,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,First,12.6,1950.0,191.34,5.0,86.97 Lakh,51.43,False,True,True,False,6,6
489,Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,First,11.0,2987.0,258.0,7.0,1 Cr,56.0,True,False,True,False,7,7
544,Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,First,0.0,1950.0,181.43,5.0,49.49 Lakh,38.99,False,True,True,False,5,5
549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,First,20.68,1995.0,190.0,5.0,48.18 Lakh,29.4,True,False,True,False,7,7
558,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,First,21.13,1498.0,108.4,5.0,15.38 Lakh,10.5,True,False,False,True,7,7
562,Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,First,11.36,2755.0,171.5,7.0,19.21 Lakh,17.0,True,False,True,False,8,8
568,Jeep Compass 2.0 Limited,Jaipur,2018,29000,First,17.1,1956.0,170.0,5.0,22.95 Lakh,19.0,True,False,False,True,6,6
599,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,First,11.36,2755.0,171.5,7.0,28.05 Lakh,24.82,True,False,True,False,5,5
603,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,First,17.9,2143.0,170.0,5.0,59.77 Lakh,48.5,True,False,True,False,6,6
615,Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,First,13.68,2393.0,147.8,8.0,19.43 Lakh,17.5,True,False,False,True,7,7
632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,First,20.7,1496.0,113.98,5.0,42.12 Lakh,29.5,True,False,True,False,8,8
635,Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,First,14.1,2179.0,154.0,7.0,16.95 Lakh,11.25,True,False,False,True,7,7
636,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,First,21.9,1498.0,98.6,7.0,15.45 Lakh,10.79,True,False,False,True,7,7
668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,First,24.3,1248.0,88.5,5.0,12.56 Lakh,11.31,True,False,False,True,7,7
697,Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,First,13.68,2393.0,147.8,7.0,26.45 Lakh,18.75,True,False,False,True,7,7
746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Second,20.7,1496.0,113.98,5.0,42.48 Lakh,23.5,True,False,True,False,10,10
750,Honda City i-VTEC CVT VX,Bangalore,2015,18955,First,18.0,1497.0,117.3,5.0,16.04 Lakh,10.65,False,True,True,False,9,9
784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,First,15.8,1591.0,121.3,5.0,13.74 Lakh,10.9,False,True,False,True,8,8
796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,First,14.0,2179.0,155.0,7.0,21.33 Lakh,17.63,True,False,True,False,5,5
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,First,17.9,2143.0,201.15,5.0,78.76 Lakh,56.0,True,False,True,False,8,8
850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,First,13.68,2393.0,147.8,7.0,25.52 Lakh,18.6,True,False,False,True,7,7
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,First,11.36,2755.0,171.5,7.0,27 Lakh,19.92,True,False,True,False,6,6
940,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,First,16.3,1956.0,170.0,5.0,24.26 Lakh,20.0,True,False,False,True,7,7
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,First,15.68,1999.0,177.0,5.0,75.12 Lakh,59.72,True,False,True,False,6,6
946,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,First,13.5,2477.0,175.56,7.0,34.6 Lakh,12.49,True,False,False,True,11,11
952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,First,13.68,2393.0,147.8,7.0,26.45 Lakh,18.39,True,False,False,True,6,6
962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,First,0.0,1950.0,194.0,5.0,52.26 Lakh,39.5,True,False,True,False,6,6
984,BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,First,22.48,1995.0,190.0,5.0,70.43 Lakh,17.5,True,False,True,False,12,12
1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,First,23.0,1498.0,98.96,5.0,12.12 Lakh,11.65,True,False,False,True,5,5
1012,Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,First,13.68,2393.0,147.8,7.0,19.37 Lakh,16.5,True,False,False,True,7,7
