Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Diesel,Fuel_Petrol,Transmission_Automatic,Transmission_Manual,Current_Age,Age
2,Honda Jazz V,Chennai,2011,46000,First,13.0,1199.0,88.7,5.0,8.61 Lakh,4.5,False,True,False,True,13,13
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755.0,171.5,8.0,21 Lakh,17.5,True,False,True,False,8,8
10,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462.0,103.25,5.0,10.65 Lakh,9.95,False,True,False,True,6,6
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477.0,175.56,7.0,32.01 Lakh,15.0,True,False,False,True,10,10
20,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,190.0,5.0,47.87 Lakh,18.55,True,False,True,False,10,10
28,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199.0,88.7,5.0,10.57 Lakh,9.9,False,True,False,True,6,6
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598.0,103.5,5.0,12.33 Lakh,6.98,False,True,False,True,10,10
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,11.12 Lakh,8.63,True,False,False,True,6,6
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999.0,149.92,5.0,23.64 Lakh,8.85,False,True,True,False,10,10
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,18.64 Lakh,10.95,False,True,False,True,12,12
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,19.34 Lakh,16.5,True,False,False,True,7,7
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950.0,194.0,5.0,49.14 Lakh,35.67,True,False,True,False,5,5
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,11.81 Lakh,10.5,True,False,False,True,6,6
73,Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461.0,108.5,5.0,16.65 Lakh,6.92,True,False,False,True,9,9
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193.0,88.7,5.0,6.67 Lakh,4.5,False,True,False,True,7,7
