Name,Location,Year,Kilometers_Driven,Owner_Type,Seats,Price,Fuel_Diesel,Fuel_Petrol,Transmission_Automatic,Transmission_Manual
Honda Jazz V,Chennai,2011,46000,First,5.0,4.5,False,True,False,True
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,8.0,17.5,True,False,True,False
Maruti Ciaz Zeta,Kochi,2018,25692,First,5.0,9.95,False,True,False,True
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,7.0,15.0,True,False,False,True
BMW 3 Series 320d,Kochi,2014,32982,First,5.0,18.55,True,False,True,False
Honda WRV i-VTEC VX,Kochi,2018,37430,First,5.0,9.9,False,True,False,True
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,5.0,6.98,False,True,False,True
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,5.0,8.63,True,False,False,True
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,5.0,8.85,False,True,True,False
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,7.0,10.95,False,True,False,True
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,8.0,16.5,True,False,False,True
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,5.0,35.67,True,False,True,False
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,5.0,10.5,True,False,False,True
Nissan Terrano XV D Pre,Kochi,2015,56066,First,5.0,6.92,True,False,False,True
Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,5.0,4.5,False,True,False,True
Datsun GO Plus T Petrol,Pune,2017,32851,First,7.0,3.95,False,True,False,True
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,5.0,3.9,False,True,False,True
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,7.0,19.25,True,False,True,False
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,5.0,3.91,False,True,False,True
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,5.0,20.75,True,False,True,False
Nissan Micra XV CVT,Coimbatore,2016,39882,First,5.0,6.55,False,True,True,False
Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,5.0,7.5,True,False,False,True
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,5.0,10.95,True,False,False,True
Maruti Alto K10 VXI,Hyderabad,2014,88500,First,5.0,2.6,False,True,False,True
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,2.0,54.0,False,True,True,False
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,5.0,11.5,False,True,True,False
Audi RS5 Coupe,Mumbai,2013,23000,First,4.0,37.0,False,True,True,False
BMW 3 Series Luxury Line,Mumbai,2014,48000,First,5.0,26.5,True,False,True,False
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,5.0,6.5,False,True,False,True
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,5.0,33.5,True,False,True,False
Maruti Baleno Alpha,Kochi,2017,24773,First,5.0,7.5,False,True,False,True
Maruti Ertiga ZDI,Mumbai,2016,33000,First,7.0,8.5,True,False,False,True
Mahindra NuvoSport N6,Chennai,2017,29000,Second,7.0,6.5,True,False,False,True
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,First,5.0,9.0,True,False,False,True
Honda Amaze S Diesel,Kolkata,2013,45000,First,5.0,3.25,True,False,False,True
Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,First,5.0,26.0,False,True,True,False
Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,First,5.0,3.7,True,False,False,True
Maruti Wagon R VXI,Kolkata,2013,32000,First,5.0,2.65,False,True,False,True
Mini Cooper Convertible S,Kochi,2017,26327,First,4.0,35.67,False,True,True,False
Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,First,7.0,19.64,True,False,True,False
Honda City i-VTEC V,Kolkata,2011,32572,First,5.0,3.87,False,True,False,True
Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,First,7.0,18.65,True,False,False,True
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,First,5.0,2.6,True,False,False,True
Mercedes-Benz GLE 350d,Coimbatore,2017,29819,First,5.0,61.29,True,False,True,False
Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,First,5.0,3.75,True,False,False,True
Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,First,5.0,5.25,True,False,False,True
Honda Jazz VX,Delhi,2015,62178,First,5.0,4.85,False,True,False,True
Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,First,7.0,20.25,True,False,False,True
Honda City i-VTEC CVT ZX,Mumbai,2017,15000,First,5.0,12.69,False,True,True,False
Mercedes-Benz GLE 250d,Hyderabad,2017,29000,First,5.0,57.0,True,False,True,False
Honda Brio 1.2 VX MT,Kochi,2012,91931,First,5.0,3.13,False,True,False,True
Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,First,7.0,62.67,True,False,True,False
Maruti Vitara Brezza LDi,Chennai,2016,45000,First,5.0,7.15,True,False,False,True
BMW 3 Series Luxury Line,Kochi,2015,30717,Second,5.0,25.99,True,False,True,False
Skoda Octavia RS,Jaipur,2005,100000,First,5.0,2.05,False,True,True,False
Maruti Alto K10 VXI,Pune,2017,30000,First,5.0,3.75,False,True,False,True
Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,First,5.0,52.0,True,False,True,False
Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,First,5.0,27.3,False,True,True,False
Mini Clubman Cooper S,Pune,2017,8350,First,5.0,35.0,False,True,False,True
